"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\config\dbconfig.php", "PHP", 6, 0, 0, 0, 0, 6
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\controllers\APIController.php", "PHP", 279, 0, 0, 13, 50, 342
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\controllers\AdminController.php", "PHP", 36, 0, 0, 1, 6, 43
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\controllers\EmployeeController.php", "PHP", 11, 0, 0, 0, 5, 16
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\controllers\HomeController.php", "PHP", 49, 0, 0, 2, 12, 63
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\models\Address.php", "PHP", 78, 0, 0, 0, 19, 97
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\models\ContactMoment.php", "PHP", 78, 0, 0, 0, 19, 97
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\models\Exceptions\DatabaseException.php", "PHP", 7, 0, 0, 0, 3, 10
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\models\Tenant.php", "PHP", 78, 0, 0, 0, 18, 96
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\models\User.php", "PHP", 69, 0, 0, 0, 15, 84
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\public\css\style.css", "CSS", 0, 0, 16, 0, 2, 18
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\public\index.php", "PHP", 6, 0, 0, 0, 2, 8
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\public\js\AddressPanel.js", "JavaScript", 0, 162, 0, 22, 34, 218
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\public\js\ContactRequestForm.js", "JavaScript", 0, 107, 0, 15, 20, 142
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\public\js\Header.js", "JavaScript", 0, 19, 0, 3, 1, 23
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\public\js\ManageTenants.js", "JavaScript", 0, 115, 0, 17, 17, 149
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\repositories\AddressRepository.php", "PHP", 96, 0, 0, 1, 27, 124
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\repositories\ContactMomentRepository.php", "PHP", 115, 0, 0, 0, 21, 136
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\repositories\Repository.php", "PHP", 17, 0, 0, 0, 2, 19
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\repositories\TenantRepository.php", "PHP", 133, 0, 0, 0, 21, 154
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\repositories\UserRepository.php", "PHP", 51, 0, 0, 0, 8, 59
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\router\Router.php", "PHP", 52, 0, 0, 0, 5, 57
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\services\AddressService.php", "PHP", 27, 0, 0, 3, 8, 38
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\services\ContactMomentService.php", "PHP", 37, 0, 0, 2, 13, 52
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\services\TenantService.php", "PHP", 40, 0, 0, 0, 11, 51
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\services\UserService.php", "PHP", 44, 0, 0, 3, 11, 58
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\admin\adminHeader.php", "PHP", 39, 0, 0, 0, 3, 42
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\admin\createUser.php", "PHP", 37, 0, 0, 0, 3, 40
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\admin\mainPanel.php", "PHP", 6, 0, 0, 0, 1, 7
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\admin\manageAddresses.php", "PHP", 8, 0, 0, 0, 0, 8
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\admin\manageTenants.php", "PHP", 51, 0, 0, 0, 14, 65
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\admin\manageUsers.php", "PHP", 8, 0, 0, 0, 0, 8
"c:\Users\joshu\Documents\InHolland\Year 2\Term 2\Web Development\ManageLiving\app\views\employee\employeeHeader.php", "PHP", 36, 0, 0, 0, 3, 39
